,Open,High,Low,Close,Volume,Date
2014-03-20 13:30:00,63.9,64.1,62.0,62.3,584000.0,2014-03-20 13:30:00
2014-03-21 13:30:00,62.9,62.9,61.0,61.6,401000.0,2014-03-21 13:30:00
2014-03-24 13:30:00,61.0,61.4,60.0,60.9,343000.0,2014-03-24 13:30:00
2014-03-25 13:30:00,63.0,65.1,62.4,65.1,2661000.0,2014-03-25 13:30:00
2014-03-26 13:30:00,65.5,65.6,63.7,64.1,1712000.0,2014-03-26 13:30:00
2014-03-27 13:30:00,64.5,65.0,63.8,64.1,610000.0,2014-03-27 13:30:00
2014-03-28 13:30:00,64.2,65.7,62.9,62.9,1177000.0,2014-03-28 13:30:00
2014-03-31 13:30:00,63.5,63.9,63.0,63.7,345000.0,2014-03-31 13:30:00
2014-04-01 13:30:00,63.7,64.2,63.3,63.8,391000.0,2014-04-01 13:30:00
2014-04-02 13:30:00,64.1,64.7,63.5,63.6,464000.0,2014-04-02 13:30:00
2014-04-03 13:30:00,64.2,65.6,63.5,65.2,1106000.0,2014-04-03 13:30:00
2014-04-07 13:30:00,64.9,64.9,63.8,64.4,294000.0,2014-04-07 13:30:00
2014-04-08 13:30:00,64.4,64.9,63.6,63.6,444000.0,2014-04-08 13:30:00
2014-04-09 13:30:00,64.2,64.9,63.8,64.7,288000.0,2014-04-09 13:30:00
2014-04-10 13:30:00,65.1,65.4,63.3,63.7,664000.0,2014-04-10 13:30:00
2014-04-11 13:30:00,63.0,63.3,62.1,62.4,542000.0,2014-04-11 13:30:00
2014-04-14 13:30:00,62.4,62.4,61.2,61.7,284000.0,2014-04-14 13:30:00
2014-04-15 13:30:00,62.1,63.3,62.1,63.1,317000.0,2014-04-15 13:30:00
2014-04-16 13:30:00,63.6,63.8,62.6,62.7,232000.0,2014-04-16 13:30:00
2014-04-17 13:30:00,61.6,63.1,61.6,63.0,427000.0,2014-04-17 13:30:00
2014-04-18 13:30:00,63.8,64.0,62.5,62.5,266000.0,2014-04-18 13:30:00
2014-04-21 13:30:00,62.5,63.4,62.5,63.0,149000.0,2014-04-21 13:30:00
2014-04-22 13:30:00,63.3,63.5,62.6,63.0,192000.0,2014-04-22 13:30:00
2014-04-23 13:30:00,63.4,63.5,62.6,62.7,222000.0,2014-04-23 13:30:00
2014-04-24 13:30:00,63.4,63.4,62.5,62.9,162000.0,2014-04-24 13:30:00
2014-04-25 13:30:00,63.0,63.4,59.0,60.5,530000.0,2014-04-25 13:30:00
